feature_name,dose,pvalue,tstat,fc
M271T467,1,0.05356069,-2.605272982,0.677860078
M271T30_1,1,0.044494066,3.073847785,3.444194996
M271T366,1,0.600210102,-0.541587178,0.865518763
M271T522,1,0.099750611,-1.801748177,0.78279642
M271T504,1,0.137039317,1.634450051,1.290628177
M271T180,1,0.999570145,-0.000564097,0.999906536
M271T542,1,0.035985377,2.808285666,1.577811063
M271T409,1,0.581034943,0.587576401,1.106752504
M271T29_2,1,0.046058741,2.799089902,3.939868216
M272T578,1,0.778647483,0.302045554,1.106840154
M272T380,1,0.012875634,-2.880747958,0.895798225
M272T38,1,0.21005302,-1.452693148,0.616447072
M272T68,1,0.177700185,1.452328689,1.294237742
M272T31_1,1,0.504577102,-0.699012919,0.90944997
M272T74,1,0.462157691,-0.799793337,0.758524202
M272T366,1,0.146582121,-1.611579159,0.602051348
M272T354,1,0.03278548,-2.422922911,0.840042368
M272T367,1,0.134807114,-1.613614878,0.845987711
M272T472,1,0.050875299,2.457735204,1.344252708
M272T409,1,0.649402464,0.483655951,1.107346108
M272T239,1,0.731664793,-0.360878934,0.968156265
M272T568,1,0.076800667,-2.103826876,0.705422233
M272T256,1,0.473803888,0.752065409,1.13251653
M273T342,1,0.950846544,-0.063293385,0.991453897
M273T308,1,0.062836451,-2.125425524,0.723718865
M273T435,1,0.509519704,-0.708251942,0.897978318
M273T68_1,1,0.648910608,0.47579386,1.097951835
M273T354_1,1,0.114381246,-1.751401267,0.895614662
